#{"t_start": 1598826891.8652916, "env_id": "WalrusBalance-v0"}
r,l,t
29.659906,4,1.704093
39.810617,4,2.989024
24.185526,3,4.031576
97.942145,8,6.140911
33.513521,3,7.176165
59.620328,6,8.838929
29.627134,4,10.050489
34.390589,3,11.072399
54.275651,5,12.483245
80.453114,7,14.365182
82.854765,7,16.203759
29.754195,4,17.449526
53.308644,7,19.348976
58.790783,6,21.038982
99.973646,9,23.317936
24.576644,3,24.371876
76.99645,6,26.06343
49.281139,4,27.244288
39.526614,4,28.486948
34.827509,3,29.564929
39.928728,4,30.807867
87.627594,8,32.905943
49.769339,6,34.61361
24.049488,3,35.601954
99.268556,8,37.663176
34.535595,3,38.769444
99.211778,8,40.855969
49.277305,4,42.079665
59.618736,6,43.70146
64.109669,7,45.590862
39.785147,4,46.872739
34.728483,3,47.95876
39.904138,4,49.223733
39.706238,4,50.410914
49.220093,4,51.674364
24.731256,3,52.688299
89.57747,9,55.019104
92.366137,9,57.344314
64.203955,7,59.236778
29.148904,4,60.46858
33.806861,3,61.553386
136.500873,17,65.479336
29.534001,4,66.742213
78.702954,6,68.410143
94.347786,7,70.236362
100.244003,9,72.549171
53.557832,5,74.000722
24.417965,3,75.097029
110.712151,11,77.885769
39.749712,4,79.110515
29.701929,4,80.575706
192.480354,15,84.141959
138.399889,12,87.097887
29.67268,4,88.348959
49.434128,6,90.030576
116.922435,10,92.555022
72.803899,7,94.459137
103.283818,9,96.932233
87.343917,8,99.0497
48.488877,8,101.196249
23.309361,3,102.22081
96.983874,9,104.504817
34.799846,5,106.017353
107.169051,10,108.505868
79.356119,8,110.611816
88.924806,8,112.699308
34.578669,3,113.758032
145.390392,12,116.717894
34.792247,3,117.824445
24.288999,3,118.902663
39.223702,4,120.165714
39.758727,4,121.419072
105.664925,10,123.922765
54.419217,5,125.405477
86.001929,8,127.633472
112.963964,11,130.538685
34.441315,3,131.62498
73.747494,7,133.48697
39.427119,4,134.735435
24.642696,3,135.779598
24.505222,3,136.78341
53.421768,5,138.249691
34.193412,3,139.272446
78.955883,6,140.92445
49.515424,4,142.210753
56.309596,6,143.978859
80.768022,9,146.287416
63.980655,7,148.189076
99.120148,8,150.268485
151.478745,13,153.468781
29.523953,4,154.74342
24.822152,3,155.980085
34.646984,5,157.466292
79.13699,6,159.140593
34.884151,3,160.205032
49.645995,6,161.886271
29.457024,4,163.057772
64.61487,7,164.939306
98.990765,8,167.021357
39.508724,4,168.323925
67.105778,6,169.950321
86.01024,8,172.086137
34.714388,3,173.209069
88.205153,8,175.262182
32.648902,3,176.365927
48.339625,6,178.073966
64.402025,7,179.979547
39.289004,6,181.66624
24.394787,3,182.683968
29.76112,4,183.967253
54.56319,5,185.446866
44.766055,5,186.962289
34.642933,3,188.008943
24.459231,3,189.006243
24.304149,3,190.004693
38.130198,4,191.22049
84.03486,7,193.091566
44.312922,5,194.466878
38.560549,4,195.751658
34.100858,3,196.778236
29.672348,4,198.041818
24.273986,3,199.088457
34.668949,3,200.084617
58.353147,6,201.774389
74.441563,7,203.615731
98.948275,10,206.174667
39.634299,4,207.382338
24.38278,3,208.3659
67.19353,6,209.9544
28.246864,4,211.188103
78.640043,8,213.297629
38.883259,4,214.523016
143.468729,11,217.235538
34.842663,3,218.283782
29.74805,4,219.624778
54.695881,5,221.05602
86.711621,8,223.096642
59.539023,6,224.798078
107.449953,8,226.906265
117.869172,13,230.005113
148.691099,12,232.902677
34.643613,3,233.97965
59.098336,6,235.702567
106.815631,10,238.259158
58.269119,8,240.360277
98.451263,10,242.856725
48.744969,4,244.162636
72.791099,7,246.018609
62.523105,5,247.420578
4.947604,1,248.90774
83.317645,7,250.78426
24.432309,3,251.828969
34.605569,3,252.884756
87.66381,8,254.951164
33.865715,3,256.051234
86.880903,8,258.082255
94.334788,9,260.305222
37.443146,4,261.486246
24.070663,3,262.625024
89.127382,9,264.893101
83.109247,7,266.798628
72.278076,7,268.666043
29.61215,4,269.963182
39.580712,4,271.199567
92.823636,9,273.436406
29.670611,4,274.6996
24.2406,3,275.692466
34.446687,3,276.729461
72.028316,7,278.577885
34.20979,5,280.050771
14.727357,1,281.589882
49.424283,4,282.816497
24.609807,3,283.842928
79.56977,6,285.460161
29.493883,4,286.727407
73.484232,7,288.539313
74.019185,7,290.390026
58.930812,6,292.041702
68.018738,6,293.720909
29.543026,4,294.963382
24.496336,3,295.997935
54.162576,5,297.472667
71.737816,7,299.342449
93.700726,9,301.589389
88.178944,8,303.697689
82.1349,7,305.626206
29.670599,4,306.831298
28.253282,4,308.041247
67.773977,6,309.721358
34.408099,3,310.748794
52.162629,7,312.607256
53.865623,5,314.090307
39.742029,4,315.412124
54.859779,5,316.91677
24.504821,3,317.957303
81.998867,7,319.877914
39.162682,4,321.11385
23.688418,3,322.096034
34.005389,3,323.172489
34.736226,3,324.200022
93.643973,9,326.448767
49.52102,6,328.055529
49.735309,6,329.712558
34.828037,3,330.761975
28.831896,4,331.976794
141.561452,13,335.079597
34.788067,3,336.11024
29.743256,4,337.355776
93.625532,9,339.617006
29.615194,4,340.854276
47.648398,4,342.081369
29.643987,4,343.354101
34.385696,3,344.413167
92.371151,9,346.733168
33.478832,3,347.838642
39.100312,4,349.065447
34.433229,3,350.090564
29.532506,4,351.280292
24.119632,3,352.274255
56.59586,6,353.914573
44.346204,5,355.386126
24.275195,3,356.457311
34.406525,3,357.565977
29.537858,4,358.866181
74.059175,7,360.748329
44.752789,5,362.183648
29.726057,4,363.469921
24.467777,3,364.496815
91.140887,9,366.782093
54.334198,5,368.235932
24.606529,3,369.290434
34.326281,3,370.33451
123.407562,12,373.213889
83.213904,7,375.051621
24.06342,3,376.048371
83.374969,9,378.415912
34.080036,3,379.471971
34.785972,3,380.527493
28.954153,4,381.777971
34.546127,3,382.786203
44.394165,5,384.206627
24.352524,3,385.199713
79.318291,6,386.841306
34.862849,3,387.867624
34.793829,3,388.934312
49.518035,4,390.200178
34.615949,3,391.190489
28.341138,4,392.412734
64.426547,5,393.821812
24.286655,3,394.914526
38.630766,4,396.115111
33.865739,3,397.178852
28.797844,4,398.422728
23.243515,3,399.420826
42.620929,5,400.873685
44.721536,5,402.34101
24.405371,3,403.373039
82.334613,7,405.281368
34.597853,3,406.359724
29.773455,4,407.634318
24.409432,3,408.698716
34.60433,3,409.734458
32.836012,5,411.148605
113.263262,9,413.400397
34.475973,3,414.445074
29.572188,4,415.677192
86.983502,8,417.772483
98.629685,10,420.268277
54.697284,5,421.776129
39.728568,4,422.985267
29.436529,4,424.262328
83.176338,7,426.110673
64.105063,5,427.582439
58.376713,6,429.219836
49.315197,4,430.433256
37.839677,4,431.658491
39.696523,4,432.863837
24.71734,3,433.890673
69.187313,6,435.564731
108.210277,12,438.400526
93.217153,9,440.644139
9.795422,2,441.624548
116.886233,8,443.678652
27.71886,4,444.893729
48.80502,4,446.06658
85.60806,8,448.093161
78.734297,8,450.171423
23.850048,3,451.183682
39.79228,4,452.40292
34.234357,3,453.486308
79.056629,8,455.594245
78.137181,8,457.656673
49.810174,6,459.355833
59.516619,6,461.042767
24.303475,3,462.084414
38.496492,4,463.355705
64.4292,7,465.282625
53.852276,5,466.712221
34.462871,3,467.745701
34.836255,3,468.706865
96.520985,10,471.165203
183.552833,15,474.721487
49.443676,4,476.043924
53.785313,5,477.451924
39.72297,4,478.704703
73.031586,7,480.640915
62.865097,5,482.103541
178.104993,14,485.503276
108.90792,10,488.005365
212.980226,17,492.017749
39.749172,4,493.280901
98.827486,8,495.392351
69.539555,7,497.239955
33.509507,3,498.32511
24.544118,3,499.321827
83.932995,8,501.345897
39.62246,4,502.618981
84.285765,7,504.477152
44.722483,5,506.04581
64.454675,5,507.529181
38.921702,4,508.793533
39.644973,4,510.060668
44.344382,5,511.527688
39.374501,4,512.769791
24.379566,3,513.854637
34.66512,3,514.887292
54.509586,5,516.379437
87.695627,8,518.440575
34.169119,3,519.451784
62.867275,5,520.915911
29.629936,4,522.179832
84.415283,7,524.097733
34.75394,3,525.123867
57.650661,6,526.755453
48.929762,4,528.009811
34.388868,3,529.056834
24.516349,3,530.170727
74.213242,7,532.023611
195.891913,16,535.885222
29.678268,4,537.110605
103.653324,9,539.378136
38.667137,4,540.653394
24.507891,3,541.698035
93.356251,10,544.199767
53.86332,7,546.124242
98.54996,10,548.557348
24.007343,3,549.620151
63.916395,8,551.742146
112.194719,9,554.052406
88.652712,8,556.206098
115.09579,10,558.702585
57.862462,6,560.291082
24.42385,3,561.315343
34.464557,3,562.363776
29.38415,4,563.628559
57.540777,6,565.318739
115.033484,10,567.889715
92.522917,9,570.197127
43.409723,5,571.634515
98.474085,10,574.115185
29.543491,4,575.407764
59.01954,6,577.02727
49.557679,4,578.301695
24.715724,3,579.539953
79.309107,8,581.603847
80.482403,9,583.847828
93.958078,9,586.067657
93.757777,9,588.317841
67.901978,6,590.034054
77.783671,8,592.191962
34.487179,3,593.234948
94.46964,10,595.716073
34.464982,3,596.802625
38.900255,4,598.033223
38.964513,4,599.264404
29.655433,4,600.491519
28.81872,4,601.693776
49.4259,6,603.375245
63.936002,5,604.767472
77.850452,8,606.844213
66.738058,6,608.482021
34.686565,3,609.497001
80.744446,9,611.791873
54.522643,5,613.275904
34.32167,5,614.788404
78.587693,8,616.831269
49.293418,6,618.467879
49.401769,6,620.244203
98.933906,8,622.352425
29.739587,4,623.62854
24.492716,3,624.653117
29.456777,4,625.878056
59.636127,6,627.510312
39.550921,6,629.10628
33.598563,3,630.129839
103.086493,9,632.372719
24.640665,3,633.357534
39.134934,6,635.016143
103.04583,11,637.657535
54.117682,5,639.160282
29.630209,4,640.420411
29.51214,4,641.656752
29.366158,4,642.930299
75.552055,8,644.997542
104.14955,9,647.232455
23.617817,3,648.297325
48.786451,6,649.885801
64.663402,7,651.814414
34.621141,5,653.287374
128.361401,12,656.252809
29.353907,4,657.505686
28.7457,4,658.707274
34.515903,3,659.711386
34.477677,5,661.129591
77.498463,8,663.199623
39.788224,4,664.471514
29.517408,4,665.739906
39.685052,4,667.021923
123.773188,14,670.368794
24.663027,3,671.439944
34.718006,3,672.436386
82.788247,9,674.685932
63.541876,9,677.009248
33.985127,3,678.008405
102.616866,9,680.337678
28.120555,4,681.545304
39.615747,4,682.805898
91.716072,9,685.067234
93.024516,9,687.356291
29.302222,4,688.599049
66.263342,8,690.701129
24.453971,3,691.754173
34.517518,3,692.79978
64.220105,7,694.635366
56.762361,6,696.449703
34.507222,3,697.421772
28.93576,4,698.642581
70.843458,7,700.514121
29.758461,4,701.757002
54.581502,5,703.230632
43.74584,5,704.649449
133.945245,11,707.342957
68.915102,6,709.016862
24.278124,3,710.060597
54.560147,5,711.446915
58.672093,6,713.084203
138.799722,10,715.496136
29.694092,4,716.745305
24.269132,3,717.79652
54.602652,5,719.223064
34.523833,3,720.293962
71.618044,7,722.196738
49.777646,6,723.793297
24.407586,3,724.875319
24.672853,3,725.916318
78.999623,6,727.521229
38.369233,4,728.752074
73.652208,9,731.047319
64.282251,7,732.900216
24.02866,3,733.902837
79.524911,6,735.519498
68.790304,6,737.155081
42.569545,5,738.594074
39.659222,4,739.792793
173.492986,13,742.854779
72.853326,9,745.192263
39.630392,4,746.393534
29.676328,4,747.673637
38.738275,4,748.85407
83.389539,7,750.73883
27.516123,4,751.987849
102.429372,11,754.719933
39.472021,6,756.424597
29.302359,4,757.702589
29.641959,4,758.950941
93.243646,9,761.258678
44.420836,5,762.624965
24.603924,3,763.636359
67.767958,6,765.329111
100.184516,9,767.606527
59.717913,6,769.264339
69.267907,6,770.85812
59.490025,6,772.543672
63.036183,5,774.013735
93.609434,9,776.212249
54.721362,5,777.669916
29.523204,4,778.900284
54.291807,5,780.32604
89.669342,9,782.575059
39.337411,4,783.80546
34.457842,3,784.775517
34.153032,3,785.754499
24.504387,3,786.798405
29.715782,4,788.048215
24.507549,3,789.085248
39.583121,4,790.365063
92.686497,9,792.560246
44.752844,5,794.025156
29.574769,4,795.224128
73.975757,7,797.085044
23.563303,3,798.09634
33.636341,3,799.086946
38.569814,4,800.337958
39.879921,4,801.556117
34.597744,3,802.526829
100.971226,11,805.190411
34.344874,3,806.201042
34.848162,3,807.200345
63.768537,5,808.684764
132.405897,11,811.411723
117.232495,10,813.948684
29.845475,4,815.155898
54.041935,5,816.621443
34.367854,3,817.69409
72.49501,7,819.585305
101.71339,9,821.861307
29.664561,4,823.14053
23.571749,3,824.092051
24.275774,3,825.155874
102.536065,9,827.436313
33.563839,3,828.47079
24.548966,3,829.532672
24.455703,3,830.523818
24.346488,3,831.549387
74.412115,7,833.402235
38.700184,4,834.602796
29.047654,4,835.851722
75.799523,8,837.894189
37.879044,4,839.11494
59.785196,6,840.809066
59.76702,6,842.488474
107.318884,10,845.005851
39.54962,4,846.205279
24.365428,3,847.236147
83.425994,8,849.266745
37.252734,4,850.48386
63.919958,5,852.00338
79.216846,8,854.002052
39.337551,6,855.646307
87.929991,8,857.727268
178.484934,15,861.211864
23.987386,3,862.212658
84.231872,7,864.165976
54.125558,5,865.633192
29.624587,4,866.821532
29.831489,4,868.061513
59.105721,6,869.752894
34.61766,3,870.796437
24.443196,3,871.821234
39.558751,4,873.034785
39.711588,4,874.237545
34.435847,3,875.289771
58.554122,6,876.978763
83.924488,8,879.073124
27.638798,4,880.255238
89.469239,8,882.331391
34.484796,3,883.38868
73.196899,7,885.188033
54.215343,5,886.692427
39.824845,4,888.011161
44.724241,5,889.504039
24.379544,3,890.520498
28.774336,4,891.772942
84.44869,7,893.679599
98.170481,8,895.773706
74.181736,7,897.690174
97.840598,8,899.767749
69.54828,6,901.435535
29.568002,4,902.689746
64.366922,7,904.587862
39.019983,6,906.298729
29.489584,4,907.60047
107.015607,10,910.1452
23.370371,3,911.178026
73.305726,7,913.198725
48.750959,4,914.455061
97.088138,11,917.230938
68.640955,6,918.869732
87.154079,8,921.028304
48.892762,4,922.320968
29.472124,4,923.574157
103.298593,10,926.04841
34.539799,3,927.021724
42.571702,7,928.909636
98.59697,8,931.076381
133.06748,11,933.75823
34.417121,3,934.865246
73.57906,7,936.775299
138.535827,10,939.256614
53.40754,5,940.688233
60.991685,7,942.519728
34.364926,3,943.594779
28.723303,4,944.77893
44.375702,5,946.185095
108.12606,10,948.732214
24.754798,3,949.775812
74.250078,7,951.628126
63.902478,5,953.040513
46.620802,6,954.721157
33.842691,3,955.729326
24.700829,3,956.784357
39.739438,4,958.006454
28.720834,4,959.270138
39.934381,4,960.530127
39.183774,4,961.783903
64.387832,5,963.211294
34.512813,5,964.678935
59.669713,6,966.33741
33.840744,3,967.403117
43.244584,5,968.822396
39.445704,4,970.076907
34.418177,3,971.102416
79.239814,8,973.246306
34.287886,3,974.264184
85.571497,8,976.300381
72.47784,7,978.142762
49.488212,6,979.758191
59.679865,6,981.48548
59.529848,6,983.19312
83.758698,7,985.036669
24.636623,3,986.126819
39.529274,4,987.377282
77.500173,8,989.461389
23.530141,3,990.446781
102.491582,9,992.770408
33.591755,3,993.787325
68.456244,6,995.454886
39.043877,4,996.706912
29.381291,4,997.888047
165.128589,14,1001.243202
44.501544,5,1002.616779
49.583547,6,1004.287014
34.272955,3,1005.362137
174.856384,14,1008.637759
34.875033,3,1009.702967
24.700368,3,1010.716192
110.360165,9,1013.023335
83.185822,7,1014.971271
34.695853,3,1016.016219
97.205244,8,1018.139346
64.475768,5,1019.600078
89.093171,8,1021.693603
34.651929,3,1022.728613
91.999856,9,1025.068425
73.493513,7,1026.972975
34.401585,3,1027.986667
54.673645,5,1029.438822
34.86245,3,1030.446522
77.478672,8,1032.52174
74.426173,7,1034.523809
23.974988,3,1035.528033
24.580789,3,1036.536294
42.39869,5,1037.957482
33.996576,3,1039.00754
24.476705,3,1040.000594
103.130036,9,1042.420556
122.48248,11,1045.173735
72.458721,7,1047.175861
80.459727,9,1049.500581
33.821185,3,1050.538365
79.157921,6,1052.17647
84.36878,8,1054.299114
53.765153,5,1055.759224
129.01158,10,1058.270769
34.473313,5,1059.720569
63.035868,5,1061.177388
53.984596,5,1062.615855
100.441502,9,1064.887689
39.53149,4,1066.12865
59.38401,6,1067.828874
59.231954,6,1069.48596
34.522959,3,1070.509037
24.269551,3,1071.604822
24.329418,3,1072.599521
71.429557,7,1074.431789
93.942036,7,1076.352146
29.358655,4,1077.642926
34.45131,3,1078.682974
34.814635,3,1079.701776
84.698139,8,1081.873478
63.976016,7,1083.709453
44.709736,5,1085.161657
59.463131,6,1086.782217
98.891414,10,1089.195669
79.05989,8,1091.277241
87.360591,8,1093.363768
37.848727,4,1094.542866
39.512437,4,1095.797081
44.475173,5,1097.214333
34.439312,3,1098.256948
24.5427,3,1099.259677
24.539824,3,1100.283092
74.302963,8,1102.306063
38.70454,4,1103.567283
77.207166,8,1105.63033
34.364339,3,1106.676134
33.321865,5,1108.145634
86.73318,8,1110.271145
34.361083,3,1111.278583
39.762865,4,1112.432149
33.596283,3,1113.506969
34.421839,3,1114.550454
64.285143,7,1116.411309
73.094939,7,1118.232499
104.484668,9,1120.508028
24.110692,3,1121.496702
28.131557,4,1122.709591
101.828389,9,1125.080328
54.649282,5,1126.520267
54.424015,5,1127.978623
104.243672,9,1130.290596
63.996172,5,1131.711457
93.181701,9,1134.006549
68.900069,6,1135.657918
34.24791,3,1136.661993
44.61937,5,1138.074286
78.133094,8,1140.178854
39.541501,4,1141.461493
39.663284,4,1142.733418
29.832481,4,1143.963627
59.218582,6,1145.64127
69.724614,7,1147.47213
24.301761,3,1148.516488
69.732692,6,1150.104166
24.588334,3,1151.19646
105.8503,8,1153.264094
34.404801,3,1154.327296
107.328501,12,1157.251006
34.444308,3,1158.266532
64.351098,5,1159.694692
34.22124,3,1160.787454
24.594833,3,1161.748128
34.675988,3,1162.832091
49.387292,4,1164.04495
34.017443,3,1165.109467
83.611082,9,1167.374682
38.704436,4,1168.606095
118.184756,12,1171.528222
34.475675,3,1172.563307
34.748455,5,1173.986399
47.919391,4,1175.259251
57.461954,6,1177.041691
24.423481,3,1177.994757
29.36854,4,1179.28001
34.673283,3,1180.357295
98.976523,8,1182.409054
64.17535,7,1184.312444
118.99672,10,1186.853529
24.23881,3,1187.918268
34.158249,3,1188.962809
79.169643,6,1190.61795
46.790782,6,1192.298699
87.343358,10,1194.722213
48.111497,6,1196.33965
24.55499,3,1197.355531
34.376859,3,1198.373309
34.813593,3,1199.373593
42.815094,5,1200.83413
48.552087,4,1202.077225
69.270733,7,1203.988325
29.482006,4,1205.294001
49.410978,4,1206.568343
24.717891,3,1207.613187
85.481183,8,1209.660217
39.569283,4,1210.913986
39.659709,4,1212.155972
91.579487,9,1214.427149
24.342697,3,1215.500568
43.342939,5,1216.921371
64.26851,5,1218.383048
153.428482,13,1221.528891
29.426618,4,1222.768353
34.378731,3,1223.814736
100.369148,9,1226.154121
34.325394,3,1227.141027
78.601781,6,1228.815818
39.533405,4,1230.149327
85.056302,8,1232.182792
71.76974,7,1234.001879
87.047221,8,1236.077074
49.750201,6,1237.770512
34.527705,3,1238.822217
161.207689,13,1241.936088
33.862766,3,1243.013121
85.360817,8,1245.138818
29.634878,4,1246.302655
34.117457,3,1247.358065
24.500396,3,1248.352224
24.783704,3,1249.4013
59.736683,6,1251.105536
128.718354,10,1253.631825
87.184189,8,1255.747046
101.189247,9,1258.017142
39.167757,4,1259.262375
54.509011,5,1260.732897
54.717643,5,1262.141818
24.512367,3,1263.215218
73.965625,7,1265.061465
43.972519,5,1266.531473
59.429091,6,1268.252535
44.692966,5,1269.706006
49.476376,4,1270.958675
123.545795,9,1273.292106
93.950743,9,1275.61955
23.993471,3,1276.696985
134.217121,11,1279.392601
44.574456,5,1280.853049
33.406682,3,1281.836092
54.460477,5,1283.365735
75.817392,8,1285.44211
63.249018,7,1287.318267
64.436696,7,1289.243869
29.579463,4,1290.552504
54.391324,5,1291.943457
79.203753,6,1293.615258
29.700228,4,1294.86957
48.780077,4,1296.134651
28.195121,4,1297.375597
24.169749,3,1298.441698
84.888998,8,1300.538073
38.482494,4,1301.775001
74.673838,7,1303.668887
87.811338,8,1305.745791
23.841613,3,1306.7933
34.528538,3,1307.83549
24.486966,3,1308.892895
99.205553,9,1311.237004
37.216238,4,1312.490151
109.135817,8,1314.501448
34.094907,5,1315.965468
74.076264,7,1317.789803
34.551748,5,1319.268143
67.407278,6,1320.927439
54.669415,5,1322.415885
29.671952,4,1323.629286
79.344378,8,1325.71612
69.075809,6,1327.339118
34.726151,3,1328.375481
24.298309,3,1329.459105
82.939095,7,1331.32609
174.697828,14,1334.618126
24.018772,3,1335.660041
147.77902,12,1338.493767
54.263918,5,1339.92591
68.215962,6,1341.576009
48.859649,4,1342.843934
27.796065,4,1344.078755
147.453622,14,1347.559174
37.914116,4,1348.813391
59.594618,6,1350.478213
34.265838,3,1351.593983
24.195737,3,1352.682102
48.246337,4,1353.862726
34.251985,3,1354.895133
68.782996,8,1356.969239
34.481071,3,1358.014026
54.314803,5,1359.568928
54.633511,5,1361.018038
72.573396,7,1363.038835
39.819197,4,1364.302794
79.135626,8,1366.390801
34.615756,3,1367.445432
34.429235,3,1368.480851
34.569102,3,1369.483776
29.531387,4,1370.661719
94.066379,7,1372.661564
49.714628,4,1373.944507
34.564369,3,1374.975895
89.86993,9,1377.25787
39.666207,4,1378.462402
82.390838,7,1380.328759
23.073454,3,1381.383381
53.668657,5,1382.885665
79.241025,8,1384.99552
33.695749,3,1386.042046
64.727276,5,1387.541574
68.146006,6,1389.200755
34.597249,3,1390.194393
49.722507,4,1391.450452
77.483376,8,1393.604493
29.341762,4,1394.857558
39.488235,6,1396.637239
39.867699,4,1397.911716
24.418275,3,1398.937757
38.143343,4,1400.356521
54.494275,5,1401.829716
77.143827,8,1403.884962
158.589299,13,1407.005619
32.914723,3,1408.110079
43.265732,5,1409.550594
73.30823,7,1411.427074
34.192947,3,1412.462873
93.220444,9,1414.868434
28.93102,4,1416.143828
44.212206,5,1417.729951
34.528413,3,1418.753125
24.554889,3,1419.75581
163.707136,13,1422.814231
77.542826,8,1424.895968
33.394346,5,1426.463017
43.844771,5,1427.903807
49.707786,4,1429.30429
29.385517,4,1430.607839
39.016862,4,1431.853629
24.434508,3,1432.929401
24.189497,3,1434.012671
54.219799,5,1435.437111
59.521733,6,1437.107333
103.906157,9,1439.39481
33.185071,3,1440.380389
24.409657,3,1441.396059
69.151437,6,1443.091511
82.048452,7,1444.971771
48.718594,6,1446.783784
